artifact_ID,chat_id,date,artifact_name,artifact_url
im_a_fuck,c6abfb19-f63a-466a-a6a8-0306d54425f1,19 days ago,Accurate HVAC Disaggregation - Manhattan Office Buildings,https://claude.ai/chat/c6abfb19-f63a-466a-a6a8-0306d54425f1?artifactId=im_a_fuck
baseline_hvac_disaggregation,067db135-ecfc-4c55-b720-5eeed68c1668,17 days ago,Baseline Method HVAC Disaggregation,https://claude.ai/chat/067db135-ecfc-4c55-b720-5eeed68c1668?artifactId=baseline_hvac_disaggregation
bulletproof-costar-fix,f355e9a3-8648-4782-859c-4e755f278dae,25 days ago,Bulletproof CoStar Fix,https://claude.ai/chat/f355e9a3-8648-4782-859c-4e755f278dae?artifactId=bulletproof-costar-fix
im_a_fuck,c6abfb19-f63a-466a-a6a8-0306d54425f1,19 days ago,Calculate All Energy Costs from Usage Data,https://claude.ai/chat/c6abfb19-f63a-466a-a6a8-0306d54425f1?artifactId=im_a_fuck
im_a_fuck,c6abfb19-f63a-466a-a6a8-0306d54425f1,19 days ago,Calculate Building Facing Yaw for Pannellum,https://claude.ai/chat/c6abfb19-f63a-466a-a6a8-0306d54425f1?artifactId=im_a_fuck
calculate-total-odcv-savings,9024d6d5-cd90-4fbc-b31b-629e0599b56d,14 days ago,Calculate DCV HVAC Savings,https://claude.ai/chat/9024d6d5-cd90-4fbc-b31b-629e0599b56d?artifactId=calculate-total-odcv-savings
ways_i_fuck_up,aadb1a38-7a18-4f69-96b1-1abfd31d6d71,Not found,Calculate Electricity Savings from Terminal Output,https://claude.ai/chat/aadb1a38-7a18-4f69-96b1-1abfd31d6d71?artifactId=ways_i_fuck_up
remove_class_c_big,c246140f-bb10-456b-932b-f5ca2daaf1d3,22 days ago,Calculate Energy Costs Using Actual SC-9 Tariffs,https://claude.ai/chat/c246140f-bb10-456b-932b-f5ca2daaf1d3?artifactId=remove_class_c_big
calculate-total-odcv-savings,9024d6d5-cd90-4fbc-b31b-629e0599b56d,14 days ago,Calculate ODCV Electricity Savings,https://claude.ai/chat/9024d6d5-cd90-4fbc-b31b-629e0599b56d?artifactId=calculate-total-odcv-savings
calculate-total-odcv-savings,9024d6d5-cd90-4fbc-b31b-629e0599b56d,14 days ago,Calculate ODCV Savings Percentage,https://claude.ai/chat/9024d6d5-cd90-4fbc-b31b-629e0599b56d?artifactId=calculate-total-odcv-savings
