bbl,address,percentage,savings,hvac_cost
1013230047,805 3 Ave,39.75382847692873,303173.74,762627.7810600001
1007940017,135 W 18th St,39.44318446732298,19203.35,48686.10448
1010320048,330 W 42nd St,37.87210441284141,45505.53,120155.79991
1000460009,14 Wall St,37.26596063075679,704333.7499999999,1890019.0363500002
1000430001,44 Wall St,37.04107704079687,138197.42,373092.33705
1007120029,47 9 Ave,36.925311420831534,14686.679999999997,39774.01797
1008040001,319 7 Ave,36.8494602520654,74504.02,202184.83389
1006720001,601 W 26th St,36.21254156128197,559952.1000000001,1546293.2891699998
1008690066,10 E 40th St,36.07224824416705,327729.00999999995,908535.0261000001
1005970001,515 Greenwich St,36.0131268772445,11265.570000000002,31281.84353
1013000001,230 Park Ave,35.940202801076296,671269.05,1867738.6260600002
1000750030,111 John St,35.78828354432641,130659.83,365091.07747
1013180001,711 3 Ave,35.74505555494863,289325.75999999995,809414.7722200002
1008650014,200 Madison Ave,35.67153731094776,252927.84,709046.64914
1012840007,7 E 48th St,35.650570591909926,329174.0400000001,923334.5624899999
1005110001,568 Broadway,35.63093015066195,71428.35999999999,200467.28979
1010400029,825 8 Ave,35.58988051192279,643629.4700000001,1808462.0143199998
1006450029,416 W 13th St,35.580715623034855,43582.96,122490.39750000002
1008400058,16 W 39th St,35.38750637970185,14610.1,41286.03989
1012700071,1350 Ave Of The Americas,35.36189595186,270018.74,763586.7159600001
1008190056,18 W 18th St,35.317077590091486,26762.38,75777.4477
1000200004,39 Broadway,35.309575158268906,300508.88,851069.0900499999
1008570024,63 Madison Ave,35.25881236266613,375902.62,1066123.8845300002
1007780020,239 W 28th St,35.237437294930565,34017.99,96539.34171000001
1000880001,217 Broadway,35.13727587190626,38433.44,109380.81865000002
1012950033,622 3 Ave,35.12106520042921,574887.02,1636872.3918800002
1013130005,111 E 58th St,35.12027987533969,169510.63,482657.40079999994
1008870095,471 Park Ave South,35.08943299720923,112936.71,321853.90402
1013150001,655 3 Ave,35.06695850927879,254693.59,726306.4743199999
1013210001,757 3 Ave,35.0465764030999,224900.74,641719.5717300002
1013050060,566 Lexington Ave,35.0063445716765,218944.87,625443.3951300001
1001960005,408 Broadway,34.83754676135856,6997.949999999999,20087.37885
1012900003,693 5 Ave,34.725117976852,49370.55,142175.32690000001
1012780001,521 5 Ave,34.714832928522206,277217.99,798557.7535999999
1009930029,5 Bryant Park,34.66949778640857,285948.67,824784.5750800001
1013940013,750 Lexington Ave,34.656360474801815,124301.38000000002,358668.30301
1012700049,20 W 55th St,34.58295676609841,41508.52,120025.94307000001
1000500001,115 Broadway,34.56857503318129,200432.58000000005,579811.5190099999
1013320001,979 3 Ave,34.506486386995334,320172.37999999995,927861.4356999999
1008330011,1240 Broadway,34.480109105989385,297086.56999999995,861617.2561599999
1005780047,250 Hudson St,34.45191735955631,73390.65000000001,213023.41240999996
1012810059,18 E 46th St,34.434629157563585,27322.16999999999,79345.03919
1012710071,1370 Ave Of The Americas,34.434095923454116,194862.19000000003,565898.95792
1012620001,1180 Ave Of The Americas,34.42379251898338,225395.33,654766.1181600001
1008490016,902 Broadway,34.412175772822245,86984.95,252773.75826000003
1012710038,712 5 Ave,34.30038897842868,162622.89,474113.83615
1013010023,485 Lexington Ave,34.28916356496727,249400.14,727343.90131
1007590045,519 8 Ave,34.24790062570888,80722.9,235701.74675
1008290036,236 5 Ave,34.21628593678048,51088.92999999999,149311.73446
1010250025,1690 Broadway,34.20921498917917,333807.93,975783.65977
1019670045,461 W 126th St,34.12104404650819,13884.93,40693.15693
1012720066,48 W 57th St,34.10991111079337,52664.38000000001,154396.12207999997
1012750014,284 Madison Ave,34.082400878551184,43830.920000000006,128602.79460999998
1012850021,437 Madison Ave,34.0640657451414,498011.36,1461984.4962900002
1008320017,1241 Broadway,34.05665011391092,30820.44,90497.56772000002
1000290070,75 Broad St,34.0276907129522,421759.0699999999,1239458.39745
1013220001,777 3 Ave,33.95339407364812,288153.63999999996,848674.0364600001
1012870021,477 Madison Ave,33.949537024872534,72724.23999999999,214212.75921
