BBL,Address,Building_Name,Owner,Wikipedia_Link
1000090014,17 State St,17 State Street,RFR Realty,https://en.wikipedia.org/wiki/17_State_Street
1000090029,24 State St,,,https://en.wikipedia.org/wiki/24_State_Street
1000100014,"33 Whitehall St, New York, NY 10004",,,https://en.wikipedia.org/wiki/33_Whitehall_Street
1000100023,"1 Whitehall St, New York, NY 10004",,Chetrit Group,https://en.wikipedia.org/wiki/1_Whitehall_Street
1000130001,1 Broadway,,,https://en.wikipedia.org/wiki/1_Broadway
1000130005,11 Broadway,Bowling Green Offices Building,,https://en.wikipedia.org/wiki/Bowling_Green_Offices_Building
1000130027,25 Broadway,Cunard Building (New York City),,https://en.wikipedia.org/wiki/Cunard_Building_(New_York_City)
1000160260,200 W St,200 West Street,,https://en.wikipedia.org/wiki/200_West_Street
1000200004,39 Broadway,Trinity Court Building,,https://en.wikipedia.org/wiki/Trinity_Court_Building
1000200009,"45 Broadway, New York, NY 10006",,,https://en.wikipedia.org/wiki/45_Broadway
1000210004,65 Broadway,65 Broadway,,https://en.wikipedia.org/wiki/65_Broadway
1000220013,26 Broadway,,Newmark Grubb Knight Frank,https://en.wikipedia.org/wiki/26_Broadway
1000220017,"32 Broadway, New York, NY 10004",,,https://en.wikipedia.org/wiki/32_Broadway
1000220020,"42 Broadway, New York, NY 10004",,Vornado Realty Trust,https://en.wikipedia.org/wiki/42_Broadway
1000220024,50 Broadway,Tower Building (New York City),,https://en.wikipedia.org/wiki/Tower_Building_(New_York_City)
1000220028,52 Broadway,,,https://en.wikipedia.org/wiki/52_Broadway
1000240001,"60 Broad St, New York, NY 10004",,Piedmont Realty Trust,https://en.wikipedia.org/wiki/60_Broad_Street
1000240029,"30 Broad St, New York, NY 10004",,,https://en.wikipedia.org/wiki/30_Broad_Street
1000250001,55 Broad St,,Rudin Management,https://en.wikipedia.org/wiki/55_Broad_Street
1000290036,1 William St,1 William Street (New York City),,https://en.wikipedia.org/wiki/1_William_Street_(New_York_City)
1000290070,"75 Broad St, New York, NY 10004",,JEMB,https://en.wikipedia.org/wiki/75_Broad_Street
1000290073,"44 Beaver St, New York, NY 10004",,,https://en.wikipedia.org/wiki/44_Beaver_Street
1000330001,"77 Water St, New York, NY 10005",,Kaufman Organization,https://en.wikipedia.org/wiki/77_Water_Street
1000390012,"110 Maiden Lane, New York, NY 10005",,Rudin,https://en.wikipedia.org/wiki/110_Maiden_Lane
1000400003,60 Wall St,,Paramount Group,https://en.wikipedia.org/wiki/60_Wall_Street
1000400014,48 Wall St,,,https://en.wikipedia.org/wiki/48_Wall_Street
1000430001,"44 Wall St, New York, NY 10005",,,https://en.wikipedia.org/wiki/44_Wall_Street
1000460001,"2 Wall St, New York, NY 10005",,,https://en.wikipedia.org/wiki/2_Wall_Street
1000460009,14 Wall St,Bankers Trust Co. Building,Alexander Rovt,https://en.wikipedia.org/wiki/14_Wall_Street
1000480001,140 Broadway,,,https://en.wikipedia.org/wiki/140_Broadway
1000490002,111 Broadway,Trinity and United States Realty Buildings,,https://en.wikipedia.org/wiki/Trinity_and_United_States_Realty_Buildings
1000500001,"115 Broadway, New York, NY 10006",,,https://en.wikipedia.org/wiki/115_Broadway
1000510007,68 TRINITY PLACE,,,https://en.wikipedia.org/wiki/68_Trinity_Place
1000640012,"150 Broadway, New York, NY 10038",,,https://en.wikipedia.org/wiki/150_Broadway
1000770008,"110 William St, New York, NY 10038",,"Pacific Oak Capital Advisors, Invesco",https://en.wikipedia.org/wiki/110_William_Street
1000880018,"225 Broadway, New York, NY 10007",,,https://en.wikipedia.org/wiki/225_Broadway
1001190001,1 Police Plaza,1 Police Plaza,,https://en.wikipedia.org/wiki/1_Police_Plaza
1001210001,1 Centre St,Manhattan Municipal Building,,https://en.wikipedia.org/wiki/Manhattan_Municipal_Building
1001220001,"52 Chambers St, New York, NY 10007",,City of New York,https://en.wikipedia.org/wiki/52_Chambers_Street
1001270018,255 Greenwich St,,,https://en.wikipedia.org/wiki/255_Greenwich_Street
1001530001,280 Broadway,280 Broadway,,https://en.wikipedia.org/wiki/280_Broadway
1001550001,2 Lafayette St,,,https://en.wikipedia.org/wiki/2_Lafayette_Street
1001680032,75 Centre St,,,https://en.wikipedia.org/wiki/75_Centre_Street
1002210030,"200 Hudson St, New York, NY 10013",,,https://en.wikipedia.org/wiki/200_Hudson_Street
1004980009,557 Broadway,Scholastic Building,,https://en.wikipedia.org/wiki/Scholastic_Building
1005220001,"610 Broadway, New York, NY 10012",,,https://en.wikipedia.org/wiki/610_Broadway
1005450015,"726 Broadway, New York, NY 10003",,NYU,https://en.wikipedia.org/wiki/726_Broadway
1005450053,"400 Lafayette St, New York, NY 10003",,,https://en.wikipedia.org/wiki/400_Lafayette_Street
1005540001,770 Broadway,770 Broadway,,https://en.wikipedia.org/wiki/770_Broadway
1005780047,"250 Hudson St, New York, NY 10013",,Jack Resnick & Sons,https://en.wikipedia.org/wiki/250_Hudson_Street
1005810063,"225 Varick St, New York, NY 10014",,Hines,https://en.wikipedia.org/wiki/225_Varick_Street
1005970001,"515 Greenwich St, New York, NY 10013",,,https://en.wikipedia.org/wiki/515_Greenwich_Street
1005970055,"333 Hudson St, New York, NY 10013",,,https://en.wikipedia.org/wiki/333_Hudson_Street
1005990064,"375 Hudson St, New York, NY 10014",,Trinity Church Wall Street,https://en.wikipedia.org/wiki/375_Hudson_Street
1006020068,"435 Hudson St, New York, NY 10014",,Hines,https://en.wikipedia.org/wiki/435_Hudson_Street
1006720001,601 W 26th St,,,https://en.wikipedia.org/wiki/601_West_26th_Street
1007310001,460 W 34th St,,,https://en.wikipedia.org/wiki/460_West_34th_Street
